Description,Parts Cost,Estimated Hours,Complexity Multiplier,Adjusted Labor Cost,Truck Fee,Roof Access Fee,Total Base Cost,Flat Rate (Non-Contract),Flat Rate (PM Contract)
10728338 PRIMARY LIMIT     AMANA   ,35.22,1.0,1.0,60.0,10,75,180.22,261.32,235.19
10728340  PRIMARY LIMIT            ,8.27,1.0,1.0,60.0,10,75,153.27,222.24,200.02
107283-42 LIMIT SWITCH             ,10.87,1.0,1.0,60.0,10,75,155.87,226.01,203.41
10728342SP LIMIT SWITCH            ,9.52,1.0,1.0,60.0,10,75,154.52,224.05,201.65
107283-43 LIMIT SWITCH             ,12.09,1.0,1.0,60.0,10,75,157.09,227.78,205.0
107283-44 LIMIT SWITCH             ,40.76,1.0,1.0,60.0,10,75,185.76,269.35,242.42
10735102 BURNER                    ,29.83,1.0,1.0,60.0,10,75,174.83,253.5,228.15
10759310 BLOWER MOTOR      AMANA   ,233.97,2.5,1.3,195.0,10,75,513.97,745.26,670.73
10759311 BLOWER MOTOR              ,233.1,2.5,1.3,195.0,10,75,513.1,744.0,669.6
10759409 MOTOR  BLOWER 3/4HP       ,253.13,2.5,1.3,195.0,10,75,533.13,773.04,695.73
10759412 BLOWER MOTOR      AMANA   ,244.13,2.5,1.3,195.0,10,75,524.13,759.99,683.99
10759415S BLOWER MOTOR             ,262.41,2.5,1.3,195.0,10,75,542.41,786.49,707.85
10784601 EXPANSION VALVE           ,153.86,1.5,1.2,108.0,10,75,346.86,502.95,452.65
10801212 EXPANSION VALVE           ,99.63,1.5,1.2,108.0,10,75,292.63,424.31,381.88
10801213 EXPANSION VALVE           ,69.95,1.5,1.2,108.0,10,75,262.95,381.28,343.15
10801214 EXPANSION VALVE           ,90.65,1.5,1.2,108.0,10,75,283.65,411.29,370.16
10801215 EXPANSION VALVE           ,82.52,1.5,1.2,108.0,10,75,275.52,399.5,359.55
10801220 EXPANSION VALVE           ,112.0,1.5,1.2,108.0,10,75,305.0,442.25,398.02
11012001/B12192-25 FILTER DRIER    ,25.59,0.5,1.0,30.0,10,75,140.59,203.86,183.47
11046711 THERM DISC                ,11.09,1.0,1.0,60.0,10,75,156.09,226.33,203.7
11062023S EXP VALVE                ,118.49,1.5,1.2,108.0,10,75,311.49,451.66,406.49
11063001 BOARD                     ,87.71,1.0,1.0,60.0,10,75,232.71,337.43,303.69
11074206 CONTROL BOARD             ,146.69,1.0,1.0,60.0,10,75,291.69,422.95,380.66
11084501 THERMISTOR                ,10.37,1.0,1.0,60.0,10,75,155.37,225.29,202.76
11091207S/11091201 MOTOR BLOWER    ,187.13,2.5,1.3,195.0,10,75,467.13,677.34,609.6
11094121 HEAT EXCHANGER            ,450.42,1.0,1.0,60.0,10,75,595.42,863.36,777.02
11111910 PRESSURE SWITCH           ,38.73,1.0,1.0,60.0,10,75,183.73,266.41,239.77
11112501S  PRESSURE SWITCH         ,30.93,1.0,1.0,60.0,10,75,175.93,255.1,229.59
11118703 WIRING HARNESS            ,26.32,1.0,1.0,60.0,10,75,171.32,248.41,223.57
11118705 16PIN WIRE HARNESS        ,26.13,1.0,1.0,60.0,10,75,171.13,248.14,223.32
11120302 TRANSFORMER               ,18.62,1.0,1.0,60.0,10,75,163.62,237.25,213.52
11128702/1272600 EVAP. COIL        ,431.46,3.0,1.2,216.0,10,75,732.46,1062.07,955.86
11142201 GASKETS           AMANA   ,8.08,1.0,1.0,60.0,10,75,153.08,221.97,199.77
11142202 GASKET            AMANA   ,9.41,1.0,1.0,60.0,10,75,154.41,223.89,201.51
11142203  GASKETS          AMANA   ,10.49,1.0,1.0,60.0,10,75,155.49,225.46,202.91
11177101 PRESSURE SWITCH   AMANA   ,77.17,1.0,1.0,60.0,10,75,222.17,322.15,289.93
11177102 PRESSURE SWITCH           ,79.49,1.0,1.0,60.0,10,75,224.49,325.51,292.96
11177103 PRESSURE SWITCH   AMANA   ,79.49,1.0,1.0,60.0,10,75,224.49,325.51,292.96
11177113 PRESSURE SWITCH           ,71.43,1.0,1.0,60.0,10,75,216.43,313.82,282.44
11177114 PRESSURE SWITCH           ,71.43,1.0,1.0,60.0,10,75,216.43,313.82,282.44
11177118 PRESSURE SWITCH           ,58.7,1.0,1.0,60.0,10,75,203.7,295.36,265.83
11177121 PRESSURW SWITCH           ,39.46,1.0,1.0,60.0,10,75,184.46,267.47,240.72
11182901 FAN BLADE                 ,105.24,1.0,1.0,60.0,10,75,250.24,362.85,326.56
11182905  FAN BLADE        AMANA   ,84.6,1.0,1.0,60.0,10,75,229.6,332.92,299.63
11182906 FAN BLADE                 ,49.11,1.0,1.0,60.0,10,75,194.11,281.46,253.31
11185811 BLOWER SHELL              ,96.16,1.0,1.0,60.0,10,75,241.16,349.68,314.71
11187001 VALVE-EXPANSION           ,110.82,1.5,1.2,108.0,10,75,303.82,440.54,396.49
11190811 ACCUMULATOR       AMANA   ,63.72,1.0,1.0,60.0,10,75,208.72,302.64,272.38
1262101 SERVICE COIL W/FILTER      ,569.0,0.5,1.0,30.0,10,75,684.0,991.8,892.62
1262102 COND. COIL                 ,583.73,3.0,1.2,216.0,10,75,884.73,1282.86,1154.57
12621-10 CONDENSER COIL            ,792.56,3.0,1.2,216.0,10,75,1093.56,1585.66,1427.1
12621-11 COND COIL                 ,973.76,3.0,1.2,216.0,10,75,1274.76,1848.4,1663.56
12621-17 COIL                      ,1120.65,3.0,1.2,216.0,10,75,1421.65,2061.39,1855.25
12622-09 COND COIL                 ,739.52,3.0,1.2,216.0,10,75,1040.52,1508.75,1357.88
12622-10 COND COIL                 ,844.54,3.0,1.2,216.0,10,75,1145.54,1661.03,1494.93
12622-11   COND COIL               ,833.33,3.0,1.2,216.0,10,75,1134.33,1644.78,1480.3
1262216 COND COIL CPKE/CPKJ        ,1046.13,3.0,1.2,216.0,10,75,1347.13,1953.34,1758.0
12622-18 CONDENSER COIL            ,1052.56,3.0,1.2,216.0,10,75,1353.56,1962.66,1766.4
12622-21 COIL                      ,926.7,3.0,1.2,216.0,10,75,1227.7,1780.16,1602.15
1262222 COND COIL                  ,1017.71,3.0,1.2,216.0,10,75,1318.71,1912.13,1720.92
12622-23 CONDENSER COIL            ,974.9,3.0,1.2,216.0,10,75,1275.9,1850.06,1665.05
12622-27  CONDENSER COIL           ,1223.0,3.0,1.2,216.0,10,75,1524.0,2209.8,1988.82
12622-28 CONDENSER COIL            ,1050.83,3.0,1.2,216.0,10,75,1351.83,1960.15,1764.14
12622-29 CONDENSER COIL            ,894.79,3.0,1.2,216.0,10,75,1195.79,1733.9,1560.51
12622-31 CONDENSER COIL            ,1517.83,3.0,1.2,216.0,10,75,1818.83,2637.3,2373.57
12622-32 COND COIL                 ,1784.44,3.0,1.2,216.0,10,75,2085.44,3023.89,2721.5
1262236 COND COIL                  ,1024.32,3.0,1.2,216.0,10,75,1325.32,1921.71,1729.54
1262240 COIL COND CPLE             ,1045.56,3.0,1.2,216.0,10,75,1346.56,1952.51,1757.26
1262241 COND COIL                  ,854.7,3.0,1.2,216.0,10,75,1155.7,1675.76,1508.19
12625-01 CONDENSER COIL            ,669.87,3.0,1.2,216.0,10,75,970.87,1407.76,1266.99
12625-02 SERVICE COIL              ,714.86,3.0,1.2,216.0,10,75,1015.86,1473.0,1325.7
12625-03 SRVC COIL                 ,653.32,3.0,1.2,216.0,10,75,954.32,1383.76,1245.39
12625-28 COND COIL                 ,764.44,3.0,1.2,216.0,10,75,1065.44,1544.89,1390.4
12626-00 EVAP COIL                 ,576.19,3.0,1.2,216.0,10,75,877.19,1271.93,1144.73
12626-02 EVAP COIL                 ,556.65,3.0,1.2,216.0,10,75,857.65,1243.59,1119.23
12626-04 EVAP COIL                 ,649.84,3.0,1.2,216.0,10,75,950.84,1378.72,1240.85
12626-06 EVAP COIL                 ,972.7,3.0,1.2,216.0,10,75,1273.7,1846.86,1662.18
12626-30 EVAP COIL                 ,703.94,3.0,1.2,216.0,10,75,1004.94,1457.16,1311.45
12626-31 EVAP COIL                 ,683.52,3.0,1.2,216.0,10,75,984.52,1427.55,1284.8
1262636 EVAP COIL                  ,702.4,3.0,1.2,216.0,10,75,1003.4,1454.93,1309.44
12626-43 EVAP COIL                 ,564.76,3.0,1.2,216.0,10,75,865.76,1255.35,1129.82
"1262643-C ""COATED"" COIL            ",856.13,3.0,1.2,216.0,10,75,1157.13,1677.84,1510.05
"12626-44C ""COATED"" COIL            ",788.1,3.0,1.2,216.0,10,75,1089.1,1579.19,1421.28
12626-48 EVAP COIL                 ,801.98,3.0,1.2,216.0,10,75,1102.98,1599.32,1439.39
"12626-48C ""COATED"" EVAP COIL       ",1028.03,3.0,1.2,216.0,10,75,1329.03,1927.09,1734.38
12626-50 EVAP COIL                 ,731.7,3.0,1.2,216.0,10,75,1032.7,1497.42,1347.67
12627-11 COND COIL PHKJ036-1       ,1553.38,3.0,1.2,216.0,10,75,1854.38,2688.85,2419.97
12627-14 COND COIL                 ,523.02,3.0,1.2,216.0,10,75,824.02,1194.83,1075.35
12627-16 COND COIL                 ,711.97,3.0,1.2,216.0,10,75,1012.97,1468.81,1321.93
12627-22 COND COIL                 ,922.17,3.0,1.2,216.0,10,75,1223.17,1773.6,1596.24
12627-23 CONDENSER COIL            ,755.54,3.0,1.2,216.0,10,75,1056.54,1531.98,1378.78
12628-15 EVAP COIL                 ,935.87,3.0,1.2,216.0,10,75,1236.87,1793.46,1614.12
12628-16                           ,1079.65,1.0,1.0,60.0,10,75,1224.65,1775.74,1598.17
1262816C  (COATED COIL)            ,996.9,3.0,1.2,216.0,10,75,1297.9,1881.96,1693.76
12722-31/12722-32G COIL            ,1191.51,3.0,1.2,216.0,10,75,1492.51,2164.14,1947.73
1272400  COIL                      ,1193.29,3.0,1.2,216.0,10,75,1494.29,2166.72,1950.05
1272402  COIL                      ,1346.67,3.0,1.2,216.0,10,75,1647.67,2389.12,2150.21
1272404  COIL                      ,1698.51,3.0,1.2,216.0,10,75,1999.51,2899.29,2609.36
1272405  COIL                      ,1204.24,3.0,1.2,216.0,10,75,1505.24,2182.6,1964.34
1272406  COIL                      ,1547.03,3.0,1.2,216.0,10,75,1848.03,2679.64,2411.68
1272407  COIL                      ,1627.76,3.0,1.2,216.0,10,75,1928.76,2796.7,2517.03
1272408  COIL                      ,1801.08,3.0,1.2,216.0,10,75,2102.08,3048.02,2743.21
1272409  COIL                      ,1964.65,3.0,1.2,216.0,10,75,2265.65,3285.19,2956.67
1272410  COIL BMA24/BMA30          ,1573.1,3.0,1.2,216.0,10,75,1874.1,2717.44,2445.7
1272411  COIL  BMA36/BMA42         ,1653.29,3.0,1.2,216.0,10,75,1954.29,2833.72,2550.35
1272603 EVAP COIL                  ,538.41,3.0,1.2,216.0,10,75,839.41,1217.14,1095.43
12726-04/ 11186901 EVAP COIL       ,614.3,3.0,1.2,216.0,10,75,915.3,1327.18,1194.47
1272605 EVAP COIL                  ,644.56,3.0,1.2,216.0,10,75,945.56,1371.06,1233.96
1272607/ 11175201 EVAP ASSY        ,716.35,1.0,1.0,60.0,10,75,861.35,1248.96,1124.06
1272610 EVAP COIL                  ,832.35,3.0,1.2,216.0,10,75,1133.35,1643.36,1479.02
1272611  EVAP COIL                 ,600.35,3.0,1.2,216.0,10,75,901.35,1306.96,1176.26
1272615 COIL                       ,381.38,3.0,1.2,216.0,10,75,682.38,989.45,890.51
1272706 CONDENSER ASSY.            ,909.27,1.0,1.0,60.0,10,75,1054.27,1528.69,1375.82
1272801  EVAP COIL                 ,726.03,3.0,1.2,216.0,10,75,1027.03,1489.19,1340.27
1272805 EVAP ASSY                  ,929.13,1.0,1.0,60.0,10,75,1074.13,1557.49,1401.74
129040J INVERTER BOARD             ,79.36,1.0,1.0,60.0,10,75,224.36,325.32,292.79
1362101 COIL                       ,896.22,3.0,1.2,216.0,10,75,1197.22,1735.97,1562.37
13621-04 COIL                      ,886.17,3.0,1.2,216.0,10,75,1187.17,1721.4,1549.26
1362111 COND COIL                  ,2019.6,3.0,1.2,216.0,10,75,2320.6,3364.87,3028.38
13622-02 CONDENSER COIL            ,1116.76,3.0,1.2,216.0,10,75,1417.76,2055.75,1850.18
1362203 COND COIL GSH13            ,1222.32,3.0,1.2,216.0,10,75,1523.32,2208.81,1987.93
13622-07 CONDENSING COIL           ,1005.79,3.0,1.2,216.0,10,75,1306.79,1894.85,1705.36
1362209 COND COIL                  ,850.79,3.0,1.2,216.0,10,75,1151.79,1670.1,1503.09
1362210 COND COIL                  ,1184.27,3.0,1.2,216.0,10,75,1485.27,2153.64,1938.28
1362211 COND COIL                  ,1577.49,3.0,1.2,216.0,10,75,1878.49,2723.81,2451.43
1362700 COND COIL GPH13            ,731.02,3.0,1.2,216.0,10,75,1032.02,1496.43,1346.79
1370901S LIMIT SWITCH              ,24.87,1.0,1.0,60.0,10,75,169.87,246.31,221.68
1370902S  LIMIT SWITCH             ,24.87,1.0,1.0,60.0,10,75,169.87,246.31,221.68
1370903S  LIMIT SWITCH             ,24.87,1.0,1.0,60.0,10,75,169.87,246.31,221.68
1370905S LIMIT CONTROL             ,24.87,1.0,1.0,60.0,10,75,169.87,246.31,221.68
1370906S  LIMIT SWITCH             ,24.87,1.0,1.0,60.0,10,75,169.87,246.31,221.68
1370908S LIMIT SWITCH              ,25.94,1.0,1.0,60.0,10,75,170.94,247.86,223.08
1370909S LIMIT SWITCH              ,24.87,1.0,1.0,60.0,10,75,169.87,246.31,221.68
1370910S LIMIT SWITCH              ,30.17,1.0,1.0,60.0,10,75,175.17,254.0,228.6
1370911S LIMIT SWITCH              ,24.87,1.0,1.0,60.0,10,75,169.87,246.31,221.68
1370912S LIMIT SWITCH              ,27.3,1.0,1.0,60.0,10,75,172.3,249.84,224.85
1370913S LIMIT SWITCH              ,24.87,1.0,1.0,60.0,10,75,169.87,246.31,221.68
1370914S LIMIT SWITCH              ,24.87,1.0,1.0,60.0,10,75,169.87,246.31,221.68
1439389 BLOWER SHELL ASSEMBLY      ,40.71,1.0,1.0,60.0,10,75,185.71,269.28,242.35
1439391  ASSY BLOWER SHELL         ,33.89,1.0,1.0,60.0,10,75,178.89,259.39,233.45
1439392S BLOWER HOUSING            ,35.62,1.0,1.0,60.0,10,75,180.62,261.9,235.71
150110335 MOTOR FOR RBH113         ,96.47,2.5,1.3,195.0,10,75,376.47,545.88,491.29
156867J VIBRATION ISOLATOR         ,4.38,1.0,1.0,60.0,10,75,149.38,216.6,194.94
15KW HEATER KIT 460 VOLT           ,187.2,1.0,1.0,60.0,10,75,332.2,481.69,433.52
17794-05P TOP PANEL LOUVERED       ,28.56,1.0,1.0,60.0,10,75,173.56,251.66,226.5
1779405PDGS SRV PACK               ,79.41,1.0,1.0,60.0,10,75,224.41,325.39,292.86
17794-12PDG                        ,49.79,1.0,1.0,60.0,10,75,194.79,282.45,254.2
1779415P TOP PANEL LOUVERED        ,45.52,1.0,1.0,60.0,10,75,190.52,276.25,248.63
1779415PDGS TOP PANEL              ,73.4,1.0,1.0,60.0,10,75,218.4,316.68,285.01
1779415PS TOP PANEL LOUVERED       ,91.94,1.0,1.0,60.0,10,75,236.94,343.56,309.21
1815817 CONTROL PANEL MOUNT        ,2.97,1.0,1.0,60.0,10,75,147.97,214.56,193.1
1839304 BLOWER SHELL **NLA**       ,46.83,1.0,1.0,60.0,10,75,191.83,278.15,250.34
1864005 PROPELLER FAN ASSEMBLY     ,137.59,1.0,1.0,60.0,10,75,282.59,409.76,368.78
20013002 MOTOR  EVAP.              ,344.97,2.5,1.3,195.0,10,75,624.97,906.21,815.59
20028403 PRESSURE SWITCH           ,38.85,1.0,1.0,60.0,10,75,183.85,266.58,239.92
20042802 GROMMET                   ,4.83,1.0,1.0,60.0,10,75,149.83,217.25,195.53
20046603 BLOWER MOTOR              ,381.86,2.5,1.3,195.0,10,75,661.86,959.7,863.73
20046604 MOTOR  BLOWER             ,342.86,2.5,1.3,195.0,10,75,622.86,903.15,812.83
20046608   MOTOR           AMANA   ,228.35,2.5,1.3,195.0,10,75,508.35,737.11,663.4
20046609 MOTOR  BLOWER 1/2 HP      ,234.56,2.5,1.3,195.0,10,75,514.56,746.11,671.5
20046612 BLOWER MOTOR      AMANA   ,250.73,2.5,1.3,195.0,10,75,530.73,769.56,692.6
20046613 MOTOR             AMANA   ,345.68,2.5,1.3,195.0,10,75,625.68,907.24,816.51
20046617 BLOWER MOTOR              ,228.87,2.5,1.3,195.0,10,75,508.87,737.86,664.08
20048206 COMPRESSOR HARNESS        ,10.16,2.5,1.4,210.0,10,75,305.16,442.48,398.23
20048209 COMPRESSOR HARNESS        ,30.16,2.5,1.4,210.0,10,75,325.16,471.48,424.33
20049701 COUPLING-FA               ,4.83,1.0,1.0,60.0,10,75,149.83,217.25,195.53
201400630360 COMPRESSOR            ,770.59,2.5,1.4,210.0,10,75,1065.59,1545.11,1390.59
201530290016 EVAP COIL-MSG12HR     ,202.02,3.0,1.2,216.0,10,75,503.02,729.38,656.44
20155305 EVAP. COIL                ,504.97,3.0,1.2,216.0,10,75,805.97,1168.66,1051.79
20162901 LIMIT                     ,21.0,1.0,1.0,60.0,10,75,166.0,240.7,216.63
20162901SP LIMIT PRIMARY           ,21.0,1.0,1.0,60.0,10,75,166.0,240.7,216.63
20162903 PRIMARY LIMIT             ,5.3,1.0,1.0,60.0,10,75,150.3,217.94,196.14
20162903SP LIMIT PRIMARY           ,5.3,1.0,1.0,60.0,10,75,150.3,217.94,196.14
20162904 PRIMARY LIMIT             ,4.41,1.0,1.0,60.0,10,75,149.41,216.64,194.98
20162904S PRIMARY LIMIT SWITCH     ,40.19,1.0,1.0,60.0,10,75,185.19,268.53,241.67
20162905 LIMIT DISC L145-40F       ,5.79,1.0,1.0,60.0,10,75,150.79,218.65,196.78
20162906 PRIMARY LIMIT             ,5.79,1.0,1.0,60.0,10,75,150.79,218.65,196.78
20162906SP LIMIT  PRIMARY          ,5.3,1.0,1.0,60.0,10,75,150.3,217.94,196.14
20162907 PRIMARY LIMIT             ,5.7,1.0,1.0,60.0,10,75,150.7,218.52,196.66
20162907SP LIMIT PRIMARY           ,5.59,1.0,1.0,60.0,10,75,150.59,218.36,196.52
20163903  SERVICE VALVE            ,53.97,1.5,1.2,108.0,10,75,246.97,358.11,322.3
20170801AS COLLECTR BOX FRNT CVR   ,23.68,1.0,1.0,60.0,10,75,168.68,244.59,220.13
20170802AS FLUE COLLECTOR COVER    ,39.32,1.0,1.0,60.0,10,75,184.32,267.26,240.54
20170806AS COLLECTOR COVER GMV     ,39.32,1.0,1.0,60.0,10,75,184.32,267.26,240.54
20170901AS COLLECTOR PLATE         ,54.79,1.0,1.0,60.0,10,75,199.79,289.7,260.73
20170902AS..FLUE COLLECTOR BOX     ,53.7,1.0,1.0,60.0,10,75,198.7,288.11,259.3
20170903AS COLLECTOR PLATE         ,53.73,1.0,1.0,60.0,10,75,198.73,288.16,259.34
20170905AS COLLECTOR PLATE         ,43.92,1.0,1.0,60.0,10,75,188.92,273.93,246.54
20171001AS COVER PLATE GMV         ,49.4,1.0,1.0,60.0,10,75,194.4,281.88,253.69
20171002AS COLLECTOR COVER GMS     ,49.16,1.0,1.0,60.0,10,75,194.16,281.53,253.38
20171004AS COLLECTOR PLATE GMV/    ,49.16,1.0,1.0,60.0,10,75,194.16,281.53,253.38
20171701 DRAIN TRAP FOR GMS FURN   ,16.25,1.0,1.0,60.0,10,75,161.25,233.81,210.43
20171802 HORIZ.LEFT VENT ELBOW     ,32.75,1.0,1.0,60.0,10,75,177.75,257.74,231.96
20171802S TRAP ELBOW KIT           ,35.24,1.0,1.0,60.0,10,75,180.24,261.35,235.21
20190411 BRACKET GPG 3 CELL        ,6.22,1.0,1.0,60.0,10,75,151.22,219.27,197.34
20190413 BRKT-BURNER 5B FUR        ,9.11,1.0,1.0,60.0,10,75,154.11,223.46,201.11
20196401 MANIFOLD                  ,26.25,1.0,1.0,60.0,10,75,171.25,248.31,223.48
20196402 MANIFOLD                  ,29.31,1.0,1.0,60.0,10,75,174.31,252.75,227.47
20196403 MANIFOLD                  ,46.91,1.0,1.0,60.0,10,75,191.91,278.27,250.44
20196404 MANIFOLD                  ,59.94,1.0,1.0,60.0,10,75,204.94,297.16,267.45
20197308 PRESSURE SWITCH           ,29.15,1.0,1.0,60.0,10,75,174.15,252.52,227.27
20197310/20197314 PRESSURE SWTCH   ,37.46,1.0,1.0,60.0,10,75,182.46,264.57,238.11
20197311 PRESSURE SWITCH           ,29.15,1.0,1.0,60.0,10,75,174.15,252.52,227.27
20197312 SWITCH-PRESS/INTERLOCK    ,31.52,1.0,1.0,60.0,10,75,176.52,255.95,230.36
20197313 PRESSURE SWITCH .37PF     ,29.15,1.0,1.0,60.0,10,75,174.15,252.52,227.27
20201902 DRAIN HOSE                ,4.93,1.0,1.0,60.0,10,75,149.93,217.4,195.66
20207201S EVAP. COIL               ,745.63,3.0,1.2,216.0,10,75,1046.63,1517.61,1365.85
20212403 VALVE EXP INDOOR (PHB)    ,128.14,0.5,1.0,30.0,10,75,243.14,352.55,317.3
20212404 VALVE  EXPANSION (PHB)    ,133.52,1.5,1.2,108.0,10,75,326.52,473.45,426.11
20212407 VALVE  EXPANSION (IN)     ,132.51,1.5,1.2,108.0,10,75,325.51,471.99,424.79
20212409 EXP VALVE                 ,96.19,1.5,1.2,108.0,10,75,289.19,419.33,377.39
20212411 EXP VALVE                 ,88.94,1.5,1.2,108.0,10,75,281.94,408.81,367.93
20212412 EXP VALVE                 ,111.14,1.5,1.2,108.0,10,75,304.14,441.0,396.9
20212413 EXP VALVE                 ,127.56,1.5,1.2,108.0,10,75,320.56,464.81,418.33
20212414 EXP VALVE                 ,106.87,1.5,1.2,108.0,10,75,299.87,434.81,391.33
20212415 EXP VALVE                 ,93.51,1.5,1.2,108.0,10,75,286.51,415.44,373.9
20224302 SENSOR/BOARD KIT          ,202.6,1.0,1.0,60.0,10,75,347.6,504.02,453.62
20265701 HORIZ PAN BMA 36/42       ,35.65,1.0,1.0,60.0,10,75,180.65,261.94,235.75
20268501  DSI CONV.KITSUB 60674    ,381.86,1.0,1.0,60.0,10,75,526.86,763.95,687.55
202699-03 AUTO-RESET LIMIT         ,6.76,1.0,1.0,60.0,10,75,151.76,220.05,198.05
20269903SP LIMIT                   ,6.5,1.0,1.0,60.0,10,75,151.5,219.68,197.71
20269905 AUX LIMIT SWITCH          ,6.11,1.0,1.0,60.0,10,75,151.11,219.11,197.2
20269905SP LIMIT                   ,5.78,1.0,1.0,60.0,10,75,150.78,218.63,196.77
20270812 COMPENSATOR               ,52.73,1.0,1.0,60.0,10,75,197.73,286.71,258.04
20270815 CHARGE COMPENSATOR        ,42.87,1.0,1.0,60.0,10,75,187.87,272.41,245.17
20295707 THERMISTER                ,15.73,1.0,1.0,60.0,10,75,160.73,233.06,209.75
20300006S/PCBBF121S INTEG-CNTRL    ,271.84,1.0,1.0,60.0,10,75,416.84,604.42,543.98
20322602 SWITCH HIGH PRESSURE      ,24.62,1.0,1.0,60.0,10,75,169.62,245.95,221.35
20322603 SWITCH  HIGH PRESSURE     ,30.17,1.0,1.0,60.0,10,75,175.17,254.0,228.6
20340402 SWITCH LOW PRESSURE       ,26.78,1.0,1.0,60.0,10,75,171.78,249.08,224.17
20340403 SWITCH LOW PRESSURE       ,26.65,1.0,1.0,60.0,10,75,171.65,248.89,224.0
20464201PDGS CORNER POST           ,82.78,1.0,1.0,60.0,10,75,227.78,330.28,297.25
20464301PDGS CORNER POST           ,79.21,1.0,1.0,60.0,10,75,224.21,325.1,292.59
20464302PDGS  CORNER POST          ,50.57,1.0,1.0,60.0,10,75,195.57,283.58,255.22
20464401PDGS LOUVERED PANEL        ,156.25,1.0,1.0,60.0,10,75,301.25,436.81,393.13
20464401PLGS LOUVERED PANEL        ,126.9,1.0,1.0,60.0,10,75,271.9,394.25,354.83
20464501PDGK MED HORZ DUCT COVER   ,0.02,1.0,1.0,60.0,10,75,145.02,210.28,189.25
20464502PDGK LG  HORZ DUCT COVER   ,0.02,1.0,1.0,60.0,10,75,145.02,210.28,189.25
20464804PDGS GPG COMPRESSOR DOOR   ,95.63,0.5,1.0,30.0,10,75,210.63,305.41,274.87
20464809PDGS COMPRESSOR DOOR       ,86.02,0.5,1.0,30.0,10,75,201.02,291.48,262.33
20466001PDGS TOP PANEL             ,261.29,1.0,1.0,60.0,10,75,406.29,589.12,530.21
20466101PDGS GPG VENT DOOR         ,83.14,0.5,1.0,30.0,10,75,198.14,287.3,258.57
20467702PLGSEL COMP PANEL          ,104.3,1.0,1.0,60.0,10,75,249.3,361.48,325.34
20472601 SCREEN-FLUE HOOT          ,6.49,1.0,1.0,60.0,10,75,151.49,219.66,197.69
20484401 FLUE LEFT                 ,10.65,1.0,1.0,60.0,10,75,155.65,225.69,203.12
204852-01 BIFLOW DRIER FOR R410A   ,44.51,1.0,1.0,60.0,10,75,189.51,274.79,247.31
2049380 COIL                       ,280.56,3.0,1.2,216.0,10,75,581.56,843.26,758.94
20512501 TRANSFORMER               ,15.75,1.0,1.0,60.0,10,75,160.75,233.09,209.78
20513001 DRAIN FITTING EVAP        ,2.46,1.0,1.0,60.0,10,75,147.46,213.82,192.44
2085008S SVC COIL ASM (AW30-05C)   ,603.5,3.0,1.2,216.0,10,75,904.5,1311.52,1180.37
2206842 LOCK PLATE ASSY            ,10.06,1.0,1.0,60.0,10,75,155.06,224.84,202.35
22307801 ELECTRIC HEATER RELAY     ,18.0,1.0,1.0,60.0,10,75,163.0,236.35,212.72
22309502 FLUE PIPE                 ,24.98,1.0,1.0,60.0,10,75,169.98,246.47,221.82
22311501 EXPANSION VALVE           ,92.52,1.5,1.2,108.0,10,75,285.52,414.0,372.6
22311503  EXPANSION VALVE          ,73.4,1.5,1.2,108.0,10,75,266.4,386.28,347.65
2425775 THERMISTOR ASSY AIR        ,141.48,1.0,1.0,60.0,10,75,286.48,415.4,373.86
2425782 THERMISTOR ASSY            ,201.33,1.0,1.0,60.0,10,75,346.33,502.18,451.96
2425799 THERMISTOR ASSY SUCTION    ,141.48,1.0,1.0,60.0,10,75,286.48,415.4,373.86
2428510 OVERLOAD PROTECTOR         ,40.52,1.0,1.0,60.0,10,75,185.52,269.0,242.1
2441513 EEV COIL                   ,20.46,3.0,1.2,216.0,10,75,321.46,466.12,419.51
2456166 FAN BEARING VIBR ABSBR     ,8.37,1.0,1.0,60.0,10,75,153.37,222.39,200.15
2493932 THERMISTOR ASSY            ,346.44,1.0,1.0,60.0,10,75,491.44,712.59,641.33
2510000S FLUE COLLECTOR BOX        ,30.71,1.0,1.0,60.0,10,75,175.71,254.78,229.3
"2510001S COLLECTOR BOX 17.5""       ",32.95,1.0,1.0,60.0,10,75,177.95,258.03,232.22
2521300S HEAT EXCHANGER            ,237.92,1.0,1.0,60.0,10,75,382.92,555.23,499.71
2521301S HEAT EXCHANGER            ,310.58,1.0,1.0,60.0,10,75,455.58,660.59,594.53
2521302S HEAT EXCHANGER            ,393.53,1.0,1.0,60.0,10,75,538.53,780.87,702.78
2521303S HEAT EXCHANGER            ,460.67,1.0,1.0,60.0,10,75,605.67,878.22,790.4
2521304S HEAT EXCHANGER            ,618.15,1.0,1.0,60.0,10,75,763.15,1106.57,995.91
2521306S HEAT EXCAHNGER            ,400.73,1.0,1.0,60.0,10,75,545.73,791.31,712.18
2523383 PRINTED CIRCUIT ASSY       ,611.15,1.0,1.0,60.0,10,75,756.15,1096.42,986.78
2528007S FLUE RESTRICTOR PLATE     ,20.57,1.0,1.0,60.0,10,75,165.57,240.08,216.07
2530517 EVAP COIL                  ,305.68,3.0,1.2,216.0,10,75,606.68,879.69,791.72
2534505 HEAT EXCHANGER ASSY        ,800.57,1.0,1.0,60.0,10,75,945.57,1371.08,1233.97
