Description,Parts Cost,Estimated Hours,Complexity Multiplier,Adjusted Labor Cost,Truck Fee,Roof Access Fee,Total Base Cost,Flat Rate (Non-Contract),Flat Rate (PM Contract)
0121R00594PDG LOUVER PANEL         ,77.56,1.0,1.0,60.0,10,75,222.56,322.71,290.44
0121R00594PDGBS LOUVER PANEL       ,78.78,1.0,1.0,60.0,10,75,223.78,324.48,292.03
0121R00595PDGBS SERVICE PCK        ,107.03,1.0,1.0,60.0,10,75,252.03,365.44,328.9
0121R00596PDGS LOUVERED PANEL 3    ,79.3,1.0,1.0,60.0,10,75,224.3,325.24,292.71
0121R00597PDGS PANEL               ,70.08,1.0,1.0,60.0,10,75,215.08,311.87,280.68
0121R00599PLGBS LOUVERED PANEL     ,116.19,1.0,1.0,60.0,10,75,261.19,378.73,340.85
0121R00600PLGS PANEL               ,67.54,1.0,1.0,60.0,10,75,212.54,308.18,277.36
0121R00625PDGS ACCESS PANEL        ,63.25,1.0,1.0,60.0,10,75,208.25,301.96,271.77
0121R00662PDG LOWER ACCEDD PANEL   ,5.79,1.0,1.0,60.0,10,75,150.79,218.65,196.78
0121R00927PLGS PANEL LOUVER        ,85.43,1.0,1.0,60.0,10,75,230.43,334.12,300.71
0130A00006S MEMORY CARDS           ,16.98,1.0,1.0,60.0,10,75,161.98,234.87,211.38
0130A00007S MEMORY CARDS           ,16.98,1.0,1.0,60.0,10,75,161.98,234.87,211.38
0130A00008S MEMORY CARDS           ,16.98,1.0,1.0,60.0,10,75,161.98,234.87,211.38
0130A00022S MEMORY CARDS           ,16.98,1.0,1.0,60.0,10,75,161.98,234.87,211.38
0130A00023S MEMORY CARDS           ,16.98,1.0,1.0,60.0,10,75,161.98,234.87,211.38
0130A00024S MEMORY CARDS           ,16.98,1.0,1.0,60.0,10,75,161.98,234.87,211.38
0130A00077S MEMORY CARD            ,18.49,1.0,1.0,60.0,10,75,163.49,237.06,213.35
0130A00078S MEMORY CARD            ,18.71,1.0,1.0,60.0,10,75,163.71,237.38,213.64
0130A00079S MEMORY CARD            ,15.02,1.0,1.0,60.0,10,75,160.02,232.03,208.83
0130A00080S MEMORY CARD            ,18.71,1.0,1.0,60.0,10,75,163.71,237.38,213.64
0130A00081S MEMORY CARD            ,18.49,1.0,1.0,60.0,10,75,163.49,237.06,213.35
0130A00083S MEMORY CARD            ,13.76,1.0,1.0,60.0,10,75,158.76,230.2,207.18
0130A00084S MEMORY CARD            ,20.32,1.0,1.0,60.0,10,75,165.32,239.71,215.74
0130A00116S MEMORY CHIP            ,21.13,1.0,1.0,60.0,10,75,166.13,240.89,216.8
0130F00000P PSR SWTCH 1.10         ,19.7,1.0,1.0,60.0,10,75,164.7,238.81,214.93
0130F00001P PRESSURE SWITCH 1.20   ,29.72,1.0,1.0,60.0,10,75,174.72,253.34,228.01
0130F00002P PRESSURE SWITCH        ,29.15,1.0,1.0,60.0,10,75,174.15,252.52,227.27
0130F00004 PRESSURE SWITCH         ,24.98,1.0,1.0,60.0,10,75,169.98,246.47,221.82
0130F00014S IGNITOR                ,15.52,1.0,1.0,60.0,10,75,160.52,232.75,209.48
0130F00035 LIMIT PRIMAYR  220      ,4.31,1.0,1.0,60.0,10,75,149.31,216.5,194.85
0130F00036 LIMIT PRIMARY 180       ,2.56,1.0,1.0,60.0,10,75,147.56,213.96,192.57
0130F00036SP LIMIT 180             ,5.17,1.0,1.0,60.0,10,75,150.17,217.75,195.97
0130F00038 PRIMARY LIMIT 120DEG    ,7.74,1.0,1.0,60.0,10,75,152.74,221.47,199.33
0130F00038S PRIMARY LIMIT 12       ,5.72,1.0,1.0,60.0,10,75,150.72,218.54,196.69
0130F00041 AIR PRESSURE SWITCH     ,22.56,1.0,1.0,60.0,10,75,167.56,242.96,218.67
0130F00042 AIR PRESSURE SWITCH     ,22.93,1.0,1.0,60.0,10,75,167.93,243.5,219.15
0130F00049 PRESSURE SWITCH         ,41.0,1.0,1.0,60.0,10,75,186.0,269.7,242.73
0130F00050 PRESSURE SWITCH         ,41.0,1.0,1.0,60.0,10,75,186.0,269.7,242.73
0130F00068 PRESSURE SWITCH GRAY    ,18.56,1.0,1.0,60.0,10,75,163.56,237.16,213.45
0130F00069 PRESSURE SWITCH OLIVE   ,18.72,1.0,1.0,60.0,10,75,163.72,237.39,213.65
0130F00070 PRESSURE SWITCH         ,18.56,1.0,1.0,60.0,10,75,163.56,237.16,213.45
0130F00071 PRIMARY LIMIT SWITCH    ,2.46,1.0,1.0,60.0,10,75,147.46,213.82,192.44
0130F00071SP LIMIT  PRIMARY        ,5.2,1.0,1.0,60.0,10,75,150.2,217.79,196.01
0130F00072S MEMORY CARDS           ,21.97,1.0,1.0,60.0,10,75,166.97,242.11,217.9
0130F00073S MEMORY CARDS           ,22.3,1.0,1.0,60.0,10,75,167.3,242.58,218.33
0130F00074S MEMORY CARDS           ,21.97,1.0,1.0,60.0,10,75,166.97,242.11,217.9
0130F00089S MEMORY CARDS           ,28.75,1.0,1.0,60.0,10,75,173.75,251.94,226.74
0130F00090S MEMORY CARDS           ,33.57,1.0,1.0,60.0,10,75,178.57,258.93,233.03
0130F00100 PRESSURE SWITCH         ,38.31,1.0,1.0,60.0,10,75,183.31,265.8,239.22
0130F00104S MEMORY CARDS           ,31.06,1.0,1.0,60.0,10,75,176.06,255.29,229.76
0130F00105 LIMIT SWITCH            ,4.26,1.0,1.0,60.0,10,75,149.26,216.43,194.78
0130F00110 PRESSURE SWITCH         ,18.56,1.0,1.0,60.0,10,75,163.56,237.16,213.45
0130F00121S MEMORY CARDS           ,32.67,1.0,1.0,60.0,10,75,177.67,257.62,231.86
